city,latitude,longitude,name,state,count
Toronto,43.6505585,-79.3893838,Korean Grill House,ON,61
Phoenix,33.4334553359,-112.16477215290001,Amazon fulfillment center,AZ,35
Las Vegas,36.126170639499996,-115.16514371,The Spa at Wynn,NV,14
Toronto,43.785629799999995,-79.2793312,Pizza Nova,ON,2
Phoenix,33.64465,-112.0991402,The Park at Deer Valley,AZ,38
Las Vegas,36.110882200000006,-115.24166640000001,La Petite Academy of Las Vegas,NV,4
Las Vegas,36.1202631639,-115.147745291,Travelocity On Location,NV,15
Phoenix,33.491673999999996,-112.13383600000002,Absolute Offroad,AZ,1
Toronto,43.6632763,-79.4025875,Papa CEO King Slice,ON,15
Toronto,43.67090820000001,-79.3910312,Salute Piano Bar,ON,23
Las Vegas,36.042896516300004,-115.1520552859,Fish King Grill,NV,16
Las Vegas,36.0186872,-115.27130279999999,Barking Dogs Self-Wash & Grooming,NV,36
Las Vegas,36.0561671791,-115.04606134229999,AE Media Production,NV,1
Las Vegas,36.1267301,-115.2013207,Sparrow + Wolf,NV,58
Las Vegas,36.07549960000001,-115.1012465,Naked City Tavern,NV,17
Phoenix,33.656061,-112.064853,Water Well,AZ,4
Las Vegas,36.144698019,-115.2729799301,Nothing Bundt Cakes,NV,25
Las Vegas,36.0579335199,-115.12037518,Albertsons,NV,10
Phoenix,33.5096729,-112.0120027,Tommy V's Osteria & Pizzeria,AZ,16
Phoenix,33.449309299999996,-112.07193999999998,Matador Restaurant,AZ,22
Phoenix,33.3204536,-111.9773422,Gigi's Cupcakes of Phoenix,AZ,38
Las Vegas,36.161646000000005,-115.17328899999998,Starbucks,NV,29
Las Vegas,36.1596351,-115.24921470000001,Vitalant - Las Vegas,NV,13
Las Vegas,36.068370629099995,-115.177535906,Blue Martini Lounge,NV,351
Las Vegas,36.1290736318,-115.09131179309999,Johnny Vegas Grill,NV,22
Phoenix,33.5090614,-112.0683999,The Fit Alterations 2,AZ,5
Las Vegas,36.01616679999999,-115.28544850000002,C & K Designs,NV,1
Las Vegas,36.113303,-115.2618547,Sterling Cleaners,NV,14
Las Vegas,36.1171523976,-115.1726688751,Margaritaville Casino,NV,9
Las Vegas,36.211332,-115.246797,La Quinta by Wyndham Las Vegas Summerlin Tech,NV,24
Phoenix,33.3204543,-111.97734960000001,Pita Pit,AZ,5
Toronto,43.7083419,-79.4530944,Camarra's Pizzeria & Restaurant,ON,7
Las Vegas,36.0985304,-115.2947358,Bomb Hair,NV,5
Las Vegas,36.100506,-115.1677344,Steak ’n Shake,NV,136
Las Vegas,36.1590673,-115.17207930000001,Jimmy John's,NV,30
Las Vegas,36.071835,-115.2947321,Veinity Spa,NV,5
Las Vegas,36.060170628200005,-115.1639046391,Alamo Rent A Car,NV,18
Phoenix,33.4713093,-111.98877490000001,Arcadia Cove Apartments,AZ,34
Phoenix,33.460840000000005,-112.074326,Best Western Central Phoenix Inn,AZ,2
Toronto,43.6495373,-79.42437779999999,Double D's,ON,11
Toronto,43.6443811,-79.44827579999999,Owl Optometry,ON,3
Las Vegas,36.119312,-115.171769,The Mac King Comedy Magic Show,NV,16
Las Vegas,36.1204965,-115.336376,Bear's Best Las Vegas,NV,17
Phoenix,33.608604,-112.0364,Swedish Auto Werks,AZ,4
Las Vegas,36.1183321618,-115.1743503849,Vosges Haut-Chocolat,NV,5
Phoenix,33.4957508,-112.0300396,HonorHealth Medical Group - Indian School,AZ,4
Phoenix,33.4804767,-112.2246631,Big 5 Sporting Goods,AZ,1
Phoenix,33.3044612,-111.99457530000001,Papa Murphy's,AZ,1
Las Vegas,36.1488388375,-115.2075205487,Better Life Mobility Centers,NV,3
Toronto,43.6656109,-79.4719056,Dirty Food Catering,ON,1
Las Vegas,36.05572,-115.1186456,Tea Space,NV,17
Las Vegas,36.154211,-115.1536,PeopleReady,NV,5
Phoenix,33.7127741955,-112.1411204338,Cactus Valley Pool Supply,AZ,2
Las Vegas,36.1573631,-115.0620928,Inn Zone,NV,2
Las Vegas,36.2382024,-115.24946750000001,Massage by Michael in the Body Spa,NV,2
Phoenix,33.5973469,-112.1072528,Casino Night 2 You,AZ,2
Phoenix,33.6788573,-112.03115929999998,Desert Gardens Nursery,AZ,3
Toronto,43.7757926,-79.4344881,Good Games Arcade Lounge,ON,1
Toronto,43.6588119,-79.34871190000001,The Opera House,ON,8
Toronto,43.64458629999999,-79.4174048,Cloud Free Agent Espresso Bar,ON,1
Las Vegas,36.1712223166,-115.20511306819999,Subway Restaurants,NV,4
Las Vegas,36.102304700000005,-115.0544403,Hobby People,NV,2
Toronto,43.650392100000005,-79.3772798,Plancha,ON,5
Phoenix,33.508711,-112.02943,Bistro 24,AZ,3
Las Vegas,36.12960220000001,-115.1085145,Coconut Bistro,NV,1
Phoenix,33.49527,-111.99045020000001,Secrets A Boutique Salon,AZ,2
Toronto,43.768278115,-79.2276818963,Spice Shack,ON,1
Las Vegas,36.078590000000005,-115.2987918,Baxter Health Center,NV,1
Las Vegas,36.233099700000004,-115.2719048,Four Seasons Landscaping & Tree Service,NV,2
Toronto,43.7082139499,-79.3897926807,Cheese Emporium,ON,2
Las Vegas,36.160014700000005,-115.27623729999999,Canyon,NV,7
Las Vegas,36.092556,-115.200627,TLC the Flooring Boutique,NV,7
Las Vegas,36.0837952504,-115.2911255341,Champaigne Lashes,NV,3
Las Vegas,35.996128799999994,-115.2054969,Haute Chix Boutique Southern Highlands,NV,6
Las Vegas,36.105644,-115.141677,Unlv Dining,NV,5
Las Vegas,36.144583000000004,-115.139501,Mystery Adventures,NV,1
Phoenix,33.625378804200004,-112.0992565094,Circle K,AZ,3
Las Vegas,36.072002600000005,-115.18173629999998,Kitchenland,NV,3
Phoenix,33.5131895,-112.12988770000001,Subway,AZ,1
Toronto,43.6656214,-79.4734771,Avec Panache Restaurant,ON,1
Las Vegas,35.9208835,-115.1652008,TP Photography,NV,5
Toronto,43.667469,-79.42003890000001,Scout & Cash Caffe,ON,2
Las Vegas,36.082981,-115.15280800000001,Port of Subs #195,NV,3
Phoenix,33.4562881,-112.0786844,The Argus Real Estate Company,AZ,2
Las Vegas,36.2031518,-115.2058165,Majestic Memories,NV,2
Toronto,43.637884899999996,-79.4212227,Liberty Village Market & Cafe,ON,1
Toronto,43.7175084,-79.4003941,Fitness Depot Yonge St,ON,2
Phoenix,33.5532264,-112.05712450000001,North Central Sports Bar,AZ,4
Phoenix,33.4483771,-112.07403729999999,Skinny Dipping Pools,AZ,2
Toronto,43.646413200000005,-79.39587390000001,Carbon Café,ON,1
Toronto,43.687878399999995,-79.3484053,Brother's Pizza and Wings,ON,2
Toronto,43.6529547,-79.3991357,Q1 Pho Famous,ON,4
Las Vegas,36.0813739,-115.19303810000001,TFS Golf & Utility,NV,3
Toronto,43.691833,-79.395457,Dental Emergency Services,ON,4
Las Vegas,36.11913,-115.154322,"Cleaver -  Butchered Meats, Seafood & Cocktails",NV,28
Toronto,43.7109317,-79.3990495,Forces of Nature Wellness Clinic,ON,1
Las Vegas,36.091557,-115.20457069999999,Swing Shift Auto,NV,1
Phoenix,33.4929493,-112.2097287,Del Mar Terrace Apartments,AZ,8
Las Vegas,36.144897,-115.254962,Advantage Resume & Desktop Publishing,NV,5
Phoenix,33.4593662,-112.06825420000001,Roosevelt Row Apartment Homes,AZ,5
Toronto,43.680469,-79.282829,Sunrise Kids Dental,ON,2
Phoenix,33.2761422,-112.28608999999999,Porterhouse Home Inspections,AZ,2
Las Vegas,36.144799400000004,-115.2140187,Peoples Utility,NV,3
Phoenix,33.6368293508,-112.0199941244,Jared's Fountain Repair,AZ,1
Las Vegas,36.3011411,-115.279583,Clemco Postal Shipping & Printing,NV,2
Phoenix,33.5082053,-112.0481115,Rim Repair Co,AZ,2
Phoenix,33.676156,-111.97203999999999,Just Sports,AZ,2
Phoenix,33.6366445,-112.1108855,Custom Car Concepts,AZ,1
Phoenix,33.508415,-112.0646835,Alta Camelback - Wood Residential,AZ,2
Phoenix,33.4690061,-112.0697136,Chicks With Spiritual Gifts,AZ,8
Toronto,43.7576851,-79.2354112,Toronto Quality Motors,ON,4
Las Vegas,36.2705866,-115.2674132,Jersey Mike's Subs,NV,6
Phoenix,33.588314000000004,-112.10566100000001,The Maids of Central Phoenix,AZ,1
Las Vegas,36.173049,-115.230318,Yardz at Mirabelli,NV,6
Toronto,43.741796799999996,-79.53092629999999,City Water International,ON,4
Las Vegas,36.2036953,-115.2463899,Dua Anit MD,NV,1
Las Vegas,36.109646000000005,-115.172324,Morphe,NV,5
Las Vegas,36.054226899999996,-115.24239240000001,Karma Connection,NV,4
Toronto,43.6461903,-79.419321,Gift Shop,ON,4
Toronto,43.665296500000004,-79.4676116,Dundas West Pawn Brokers,ON,4
Las Vegas,36.1685066,-115.1406797,Anderson Air Mechanical,NV,3
Toronto,43.6646035,-79.41293420000001,Her Chef,ON,1
Phoenix,33.4889441,-112.03052050000001,Upper Cervical Chiropractic of Arizona,AZ,2
Las Vegas,36.1862848,-115.3031125,LVI Global,NV,3
Phoenix,33.5232565755,-112.0732742921,The MassageMobile,AZ,2
Las Vegas,36.2163105,-115.22754180000001,Marquis Plaza Regency,NV,4
Las Vegas,36.1182761,-115.13564709999999,AT&T Store,NV,3
Phoenix,33.494679999999995,-112.217323,Coin Less Laundry,AZ,1
Phoenix,33.4384498,-112.1231112,America Roofing,AZ,1
Las Vegas,36.1599986,-115.14753290000002,Millennium Fandom Bar,NV,7
Phoenix,33.480984,-112.1594618,Plaza Medica Mexicana,AZ,2
Las Vegas,36.07189,-115.24186999999999,Dutch Bros Coffee,NV,4
Phoenix,33.628995200000006,-112.1370601,Funny Magic For Kids,AZ,1
Las Vegas,36.143315,-115.1486295,Mom and Pops Smoke Shop,NV,1
Las Vegas,36.1569658,-115.3335939,The Salt Lick Bar-BQ,NV,15
Las Vegas,36.291232,-115.3155669,Pink Nails,NV,58
Las Vegas,36.057038299999995,-115.27518500000001,Advanced Orthopedics & Sports Medicine,NV,85
Las Vegas,36.1,-115.149,Cartwright Motors,NV,23
Las Vegas,36.020968837,-115.26686087680001,Serene Nails,NV,31
Las Vegas,36.1595316,-115.2186963,Bad Apple Tattoo,NV,10
Phoenix,33.6560729,-112.0641072,Cousins Subs,AZ,3
Las Vegas,36.06816,-115.1774655282,Minchia's Cibo Italiano,NV,45
Toronto,43.6729833023,-79.2866801843,Skwish,ON,10
Las Vegas,36.1450827,-115.106926,Fairway Chevrolet Truck Mega Store,NV,149
Phoenix,33.506986,-112.0454946,Solis Mammography - Phoenix,AZ,15
Phoenix,33.6780633,-111.97791289999999,OrganiCare Garment Care,AZ,19
Phoenix,33.6272767,-111.9952466,360 Physical Therapy & Aquatic Center,AZ,3
Phoenix,33.4925662,-112.12364509999999,Maximum Air Care,AZ,5
Phoenix,33.4954267432,-112.1017468865,JB's Nails & Spa,AZ,3
Las Vegas,36.1600907,-115.24541740000001,Wells Fargo Bank,NV,5
Las Vegas,36.0126172464,-115.1197073758,Nothing Bundt Cakes,NV,34
Toronto,43.6529547,-79.3991357,Chinese Traditional Buns,ON,23
Las Vegas,36.122005,-115.224374,Nevada State Bank,NV,9
Toronto,43.792045111099995,-79.41810885560001,Khorak Supermarket,ON,13
Phoenix,33.3033334,-111.9793168,Andante Apartments,AZ,8
Toronto,43.6387,-79.41772399999999,Thai Room Liberty Village,ON,25
Toronto,43.725322999999996,-79.4642016,R B Incorporated,ON,1
Toronto,43.6490004,-79.39138829999999,Gravity SoundBar,ON,27
Phoenix,33.4475256,-112.07463030000001,Ahipoki,AZ,9
Las Vegas,36.1270605395,-115.1693344116,Philadelphia Steak & Hoagie,NV,19
Phoenix,33.5064238,-112.0376743,Twenty Highland Tavern,AZ,18
Las Vegas,36.148363,-115.33346399999999,Lush Fresh Handmade Cosmetics,NV,12
Las Vegas,36.160533,-115.31976,Starbucks,NV,39
Phoenix,33.4511742,-112.0347903,Waffles N Pizzeria,AZ,4
Las Vegas,36.2412164566,-115.07791317430001,Little Caesars Pizza,NV,30
Toronto,43.6751211,-79.3885591,Hair Sculpture and Spa,ON,18
Las Vegas,36.116973221500004,-115.2076220199,Windhorse Airsoft,NV,2
Toronto,43.700404299999995,-79.4260963,Yogurty's Froyo,ON,1
Las Vegas,36.1674807071,-115.2865767851,Charming Charlie - Las Vegas,NV,5
Las Vegas,36.16915170000001,-115.2913521,Brigg's Oyster,NV,31
Las Vegas,36.2776503,-115.28713859999999,Vegeway,NV,67
Phoenix,33.6383669,-111.9792636,Sally Beauty Supply,AZ,5
Toronto,43.674959799999996,-79.40802070000001,Shoppers Drug Mart,ON,2
Las Vegas,36.1987661,-115.24351159999999,Souper Salad,NV,4
Las Vegas,36.104144299999994,-115.17248329999998,Denny's,NV,152
Phoenix,33.581757,-112.008454,Bootleggers Modern American Smokehouse,AZ,117
Toronto,43.6629326,-79.4033968,YGO Lab,ON,1
Las Vegas,36.0062999,-115.11655290000002,The Fish Shop,NV,10
Las Vegas,36.143637,-115.142099,Spotlight Lounge,NV,8
Phoenix,33.5388479,-112.1139129,New Way Rims And Tires,AZ,3
Las Vegas,36.07069570000001,-115.09112569999999,Solar Nails,NV,15
Toronto,43.725108299999995,-79.4528087,Mac's Sushi,ON,2
Phoenix,33.5973469,-112.1072528,Go Artificial Green,AZ,1
Las Vegas,36.2160801452,-115.2412038471,Wireless Phone Medics,NV,3
Phoenix,33.676159999999996,-111.96685900000001,LensCrafters,AZ,9
Las Vegas,36.0065454,-115.20646950000001,Distill - Southern Highlands,NV,86
Toronto,43.7857392633,-79.3521449783,Hung Fok BBQ Gourmet,ON,3
Las Vegas,36.020026200000004,-115.14153030000001,Kids 'R' Kids Learning Academy Henderson / Silverado Ranch,NV,12
Toronto,43.668808399999996,-79.3905524,Windsor Arms Hotel,ON,29
Phoenix,33.4946841,-112.0033992,Tuesday Morning,AZ,3
Toronto,43.648362,-79.390276,Dark Horse Espresso Bar,ON,5
Toronto,43.6481326,-79.3795089,z-teca Gourmet Burritos,ON,16
Las Vegas,36.218922799999994,-115.0855969,Quality Towing,NV,36
Phoenix,33.452957,-112.07345120000001,Arizona State University Downtown Phoenix Campus,AZ,3
Las Vegas,36.1588259,-115.0499817,Crown Liquor,NV,2
Las Vegas,36.1162194,-115.1745719,Neros,NV,19
Las Vegas,36.1448459,-115.2143429,"Dave L Smith, DDS",NV,3
Phoenix,33.539487874,-112.06546068829999,Hissyfits,AZ,25
Phoenix,33.4764392,-112.0299226,Law Offices of Judd S Nemiro,AZ,3
Las Vegas,36.1537151445,-115.16159412120001,Little Darlings,NV,118
Phoenix,33.4681139,-112.2211703,Western Dental & Orthodontics,AZ,18
Phoenix,33.478912,-111.99947900000001,Sprint Store,AZ,3
Phoenix,33.6400769,-112.12930549999999,Poliberto's Bell Rd,AZ,18
Las Vegas,36.1237504,-115.19092009999999,Rancho Vista Apartments,NV,10
Phoenix,33.508390118099996,-112.0437093716,Dv Nail Salon,AZ,40
Las Vegas,35.997170200000006,-115.28982409999999,Doral Academy Charter School,NV,2
Las Vegas,36.128153999999995,-115.279855,1-800-flowers,NV,36
Toronto,43.7072249,-79.36164790000001,Krown Rust Control Center,ON,3
Phoenix,33.655604,-112.01188400000001,Matador Coffee,AZ,12
Las Vegas,36.040944700000004,-115.1197539,Foxy Hound Pet Salon,NV,9
Phoenix,33.639984000000005,-112.027277,Fat Zombie Tattoo,AZ,2
Toronto,43.6884794,-79.39076949999999,Sobeys,ON,4
Toronto,43.710300152100004,-79.363142252,Sunset Grill,ON,8
Phoenix,33.625313,-111.995759,Cornerstone Women's Care,AZ,35
Las Vegas,36.1442895,-115.266024,Nail Story,NV,15
Las Vegas,36.115618,-115.132772,Vegas Buffet,NV,54
Toronto,43.656232200000005,-79.38183000000001,Holiday Shoe Repair,ON,2
Toronto,43.6631821,-79.4025671,Pig Out BBQ,ON,9
Phoenix,33.5089602511,-112.08341439700001,Taqueria Los Yaquis,AZ,24
Las Vegas,36.1705557,-115.1947055,Nevada Health Co Op,NV,9
Las Vegas,36.0820599,-115.2412496,Desert Valley Therapy,NV,6
Toronto,43.645143,-79.532489,Toji Sushi,ON,10
Toronto,43.68902620000001,-79.2987907,Golden Ying Spa,ON,1
Toronto,43.6542889,-79.3987025,Gold Diamond Chinese Restaurant,ON,6
Phoenix,33.458667,-111.970101,KDKB - ALT AZ 93.3 FM,AZ,2
Las Vegas,36.056238,-115.10175900000002,Night Train,NV,5
Toronto,43.666059999999995,-79.38124499999999,Alfred,ON,1
Las Vegas,36.1151936,-115.22692820000002,Fresh Sub,NV,4
Phoenix,33.488639,-112.08237009999999,Subway Restaurants,AZ,4
Toronto,43.6809394,-79.4278932,South St. Burger,ON,8
Phoenix,33.6654745,-112.1181977,Affiliated Dermatology - Deer Valley,AZ,20
Phoenix,33.635639700000006,-112.11737430000001,Paychex,AZ,12
Phoenix,33.3973849,-112.07360259999999,"Michael J Wong, DDS",AZ,1
Las Vegas,36.1066731819,-115.1367697416,Indian Bowl Cuisine,NV,2
Phoenix,33.4247437,-112.2401343,Palermos Pizza,AZ,8
Las Vegas,36.0690979,-115.2764524,North American Title Company,NV,2
Toronto,43.77424570000001,-79.49831479999999,York Lanes Dental Office,ON,11
Phoenix,33.4001068,-112.0008987,Park Avenue Shutters and Blinds Corp,AZ,5
Toronto,43.6451287,-79.4483484,Café Polonez,ON,7
Las Vegas,36.23982,-115.04346000000001,Charley's Grilled Subs,NV,6
Toronto,43.653572592299994,-79.3800708994,kate spade new york,ON,4
Toronto,43.6540356,-79.369466,FAMO Sandwiches,ON,3
Las Vegas,36.0162554,-115.11873290000001,Bistro95Ten & Lounge,NV,2
Toronto,43.6511761,-79.477912,Gibson's Cleaners,ON,2
Toronto,43.6855119,-79.3129722,Cozy Cafe & Bakery,ON,1
Phoenix,33.480508,-112.119623,El Sabroso Hot Dogs,AZ,6
Phoenix,33.7087366828,-112.11425627540001,Men's Lounge Barbershop,AZ,10
Las Vegas,36.0150168,-115.1712669,The Liquor Outlet,NV,5
Phoenix,33.5993478,-111.98359520000001,Olives Mediterranean Grill,AZ,18
Las Vegas,36.114543,-115.195683,Send Noodles,NV,16
Las Vegas,36.2905590411,-115.3154011375,Desert Pit Stop,NV,16
Las Vegas,36.1564987,-115.14878290000001,Viva Las Vegas Wedding Chapel,NV,13
Las Vegas,36.1184749,-115.1755707,bebe,NV,2
Toronto,43.6587636196,-79.3882001873,Hero Certified Burgers,ON,4
Las Vegas,36.091057799999994,-115.20355729999999,Discount Movers,NV,16
Las Vegas,36.2483866938,-115.2081161365,Sunset Clinic,NV,10
Las Vegas,36.1615187,-115.24429359999999,Best Cleaners and Alterations,NV,6
Toronto,43.646576698100006,-79.378782548,Element fleet Management,ON,3
Toronto,43.6683879,-79.3935754,Club Monaco Bloor Street,ON,3
Las Vegas,36.1,-115.07,Angels Carpet Care,NV,1
Las Vegas,36.133382,-115.16093400000001,Rodeway Inn Las Vegas Convention Center,NV,13
Toronto,43.64183370000001,-79.43110340000001,Porzia Restaurant,ON,4
Phoenix,33.6404137134,-112.07141049209999,Bealls Outlet,AZ,4
Phoenix,33.6833314,-112.09927252959999,BBVA Compass,AZ,2
Toronto,43.667065,-79.3851303,Money Mart,ON,2
Toronto,43.675953899999996,-79.3584181,The Peoples Caribbean Dutchpot,ON,3
Toronto,43.648115999999995,-79.3844795,Astarté Fresh Yogurt Bar,ON,1
Phoenix,33.3322852,-111.97906979999999,Bark Avenue Pet Salon,AZ,2
Toronto,43.6570205,-79.406769,Wrapido,ON,1
Las Vegas,36.1235224,-115.1343763,Shiekh Shoes,NV,1
Toronto,43.648066255299995,-79.3931178204,Mike’s Independent City Market,ON,2
Las Vegas,36.1451626,-115.23280559999999,The Tiny Wardrobe,NV,5
Phoenix,33.4948197,-111.97982079999998,Community Wellness & Safety,AZ,1
Phoenix,33.3304996,-111.9811935,UFC GYM Ahwatukee,AZ,3
Las Vegas,36.1278561603,-115.27936191120001,O'Reilly Auto Parts,NV,3
Toronto,43.65926339999999,-79.3826319,Crunch Fitness College Park,ON,12
Toronto,43.764895,-79.2272949,Indian Spice Kitchen,ON,2
Toronto,43.6668913222,-79.3169371784,Beach Shawarma,ON,1
Toronto,43.7760796,-79.3436306,Teavana,ON,3
Las Vegas,36.2912637412,-115.3154963627,Fitness 14,NV,11
Toronto,43.644411,-79.400199,Cheval,ON,1
Toronto,43.6627410493,-79.3100418895,Tim Hortons,ON,6
Phoenix,33.6127083,-112.0646835,Advantage Storage - Moon Valley,AZ,2
Toronto,43.650312899999996,-79.4811079,Marlborough's Stationery,ON,2
Toronto,43.724426790500004,-79.4573689221,Popeye's Supplements Toronto - Yorkdale,ON,1
Phoenix,33.6742826,-111.97447,Premier Pressure Washing Service,AZ,1
Toronto,43.651924900000004,-79.3849909,Mr Tasty Fries,ON,2
Phoenix,33.6713751,-112.03001709999998,Angel Vet - Pet Home Euthanasia,AZ,1
Phoenix,33.584666299999995,-112.01263329999999,Chess Emporium,AZ,1
Las Vegas,36.028096000000005,-115.11489499999999,Rocket Fizz Henderson,NV,1
Las Vegas,36.035749200000005,-115.1533426,Doctor Rooter Plumbing,NV,4
Toronto,43.7447025,-79.3464677,Baretto Caffe,ON,5
Las Vegas,36.2222977,-115.26000790000002,"Morantes E Orlando, DDS",NV,3
Phoenix,33.4946276,-112.00244679999999,Sol CrossFit,AZ,2
Toronto,43.659032,-79.43825890000001,Queen's Shop,ON,2
Phoenix,33.5035453,-112.046985,DeShon Laraye Pullen,AZ,7
Las Vegas,36.126788,-115.241228,Bbear Cafe,NV,11
Toronto,43.6574528,-79.40339279999999,KMH Labs,ON,2
